URL / Route,Key,DE,EN
"all screens (shell)","shell.menuLabel","Menü öffnen","Open menu"
"/about-you · /diary/:id · /exercises · /session/:id/*","common.closeLabel","Schließen","Close"
"/session/:id/*","common.back","Zurück","Back"
"/about-you · /session/:id/*","common.continue","Weiter","Continue"
"/diary · /diary/:id · /session/:id/*","common.cancel","Abbrechen","Cancel"
"all screens (shell)","auth.title","Anmelden","Sign in"
"all screens (shell)","auth.intro","Musie ist noch im geschlossenen Test. Melde dich mit der E-Mail-Adresse und dem Passwort an, die du bekommen hast.","Musie is in closed testing. Sign in with the email address and password you were given."
"all screens (shell)","auth.email","E-Mail-Adresse","Email address"
"all screens (shell)","auth.password","Passwort","Password"
"all screens (shell)","auth.submit","Anmelden","Sign in"
"all screens (shell)","auth.failed","Das hat nicht funktioniert","That did not work"
"all screens (shell)","auth.error.missing","Trag deine E-Mail-Adresse und dein Passwort ein.","Fill in both your email address and your password."
"/about-you · /menu","auth.error.credentials","E-Mail-Adresse und Passwort passen nicht zu einem Konto. Prüfe beides und versuche es erneut. Wenn was nicht klappt, gib Ben Bescheid.","That email address and password do not match an account. Check both and try again. If it still will not work, let Ben know."
"/about-you · /menu","auth.error.notConfirmed","Dieses Konto ist noch nicht bestätigt. Wende dich an die Person, die dir das Passwort gegeben hat.","That account has not been confirmed yet. Ask whoever gave you the password."
"/about-you · /menu","auth.error.rateLimit","Zu viele Versuche. Warte eine Minute und versuche es erneut.","Too many attempts. Wait a minute and try again."
"/about-you · /menu","auth.error.unknown","Beim Anmelden ist etwas schiefgegangen. Versuche es gleich noch einmal.","Something went wrong signing you in. Try again in a moment."
"/about-you · /menu","auth.account","Konto","Account"
"/about-you · /menu","auth.signedInAs","Angemeldet als {email}","Signed in as {email}"
"/about-you · /menu","auth.signOut","Abmelden","Sign out"
"/menu","menu.title","Menü","Menu"
"/menu","menu.pagesLabel","Seiten","Pages"
"/menu","menu.closeLabel","Menü schließen","Close menu"
"/ · /diary · /menu","menu.startSession","Session starten","Start a session"
"/menu","menu.endSession","Session beenden & neu beginnen","End session & start a new one"
"/menu","menu.continueSession","Session fortsetzen","Continue session"
"/menu","menu.yourDiary","Dein Tagebuch","Your diary"
"/menu","menu.aboutYou","Über dich","About you"
"/menu","menu.howItWorks","Wie Musie funktioniert","How Musie works"
"/menu","menu.darkMode","Dunkelmodus","Dark mode"
"/menu","menu.language","Sprache","Language"
"/about-you · /diary · /diary/:id · /exercises · /session/:id/* · /session/:id/scan · /dev/qr · /menu · all screens (shell)","content.loading","Wird geladen…","Loading…"
"/about-you · /diary · /diary/:id · /exercises · /session/:id/* · /s/:code","content.error","Dieser Inhalt konnte nicht geladen werden","This content could not be loaded"
"/about-you · /diary · /diary/:id · /exercises · /session/:id/* · /s/:code · /dev/qr · /menu","content.errorDetail","Prüfe deine Verbindung und versuche es erneut.","Check your connection and try again."
"/about-you · /diary · /diary/:id · /exercises · /session/:id/scan · /session/:id/listen · /dev/qr","content.empty","Hier ist noch nichts.","There is nothing here yet."
"/","about.greeting","Hallo, ich bin Musie.","Hi, I'm Musie."
"/","about.pitch","Ich helfe dir, achtsamer, bewusster, verbundener und sicherer zu fühlen und zu handeln – mit der Kraft der Musik","I help you feel and act more mindful, aware, connected and safe through the power of music"
"/","about.typing","Musie schreibt","Musie is typing"
"/","about.carouselHeadline","Was Musie kann","What Musie can do"
"/","about.carouselLabel","Wie eine Session abläuft","How a session works"
"/","about.slide.choose","Wähle mit Musie die Übung, die dich anzieht","Choose the exercise that draws you in, with Musie"
"/","about.slide.guide","Musie führt dich durch die Übung und eine Reflexion","Musie guides you through the exercise and a reflection"
"/","about.slide.understand","Fühle & verstehe dich selbst besser","Feel & understand yourself better"
"/","about.previousSlide","Vorheriger Schritt","Previous step"
"/","about.nextSlide","Nächster Schritt","Next step"
"/","about.slideLabel","Schritt {position} von {total}: {title}","Step {position} of {total}: {title}"
"/","about.goToSlide","Zu Schritt {position} von {total}","Go to step {position} of {total}"
"/","about.hint.unseen","Sieh dir an, wie eine Session abläuft, bevor du startest.","Check out how a session will work before starting."
"/","about.hint.next","Als Nächstes frage ich dich, als wer du hier bist.","Next I'll ask who you are here as."
"/","about.hint.ready","Es kann losgehen.","Ready when you are."
"/","about.postscript","P.S. In deinem Tagebuch in Musie bekommst du einen Überblick über alle vergangenen Sessions und Einblicke in deine Reflexionen.","P.S. Your diary in Musie keeps an overview of every past session, and what you saw in your own reflections."
"/about-you","aboutYou.headline","Und als wer bist du hier?","And who are you here as?"
"/about-you","aboutYou.text","Damit grenze ich ein, welche Übungen ich dir anbiete. Du kannst das hier jederzeit ändern.","I use this to narrow down the exercises I offer you. You can change it here any time."
"/about-you","aboutYou.legend","Als wer bist du hier?","Who are you here as?"
"/about-you","aboutYou.hint.pick","Wähl eine Option, um weiterzugehen.","Pick one to carry on."
"/about-you","aboutYou.hint.ready","Es kann losgehen.","Ready when you are."
"/about-you · /exercises","notImplemented.title","Noch nicht umgesetzt","Not implemented yet"
"/about-you · /exercises","notImplemented.text","Musie baut bisher nur den Weg „Allein“ aus, mit den Übungen Achtsame Pause und Freie Bahn.","Musie only builds the “By myself” path so far, with the Mindful Pause and Free Rein exercises."
"/about-you · /exercises","notImplemented.back","Zurück zur Auswahl","Back to the choice"
"not rendered (unused key)","exercises.notImplemented","Noch nicht verfügbar","Not available yet"
"/exercises","exercises.headline","Womit möchtest du jetzt anfangen?","What would you like to start with now?"
"/exercises","exercises.legend","Übung wählen","Choose an exercise"
"/exercises","exercises.legend.time","Dauer","Time"
"/exercises","exercises.legend.cards","Kartenset","Card deck"
"/exercises","exercises.legend.sound","Ton","Sound"
"/exercises","exercises.fact.time","Dauert {min} bis {max} Minuten","Takes {min} to {max} minutes"
"/exercises","exercises.fact.timeShort","{min}–{max} Min.","{min}–{max} min"
